,importance,stddev,p_value,n,p99_high,p99_low
Feat 558,0.02784000000000002,0.0011781341180018827,3.839255162919692e-07,5,0.030265794432509874,0.025414205567490168
Feat 582,0.013800000000000012,0.0017606816861659182,3.111864141584675e-05,5,0.017425267927022665,0.010174732072977359
Feat 554,0.00848000000000002,0.0017005881335585163,0.00018410186464636177,5,0.011981534471622868,0.004978465528377173
Feat 552,0.006120000000000037,0.001035374328443591,9.466092825109396e-05,5,0.008251850052659389,0.003988149947340686
Feat 93,0.0059600000000000096,0.0014380542409798192,0.0003769777610779682,5,0.00892097355819931,0.0029990264418007094
Feat 555,0.005760000000000032,0.0014791889669680727,0.0004789954750527759,5,0.008805670527551478,0.0027143294724485847
Feat 580,0.005240000000000022,0.00243474844696531,0.004285139478257152,5,0.010253180704101339,0.0002268192958987062
Feat 571,0.0037200000000000345,0.0005215361924162183,4.517004328995337e-05,5,0.00479385022858125,0.002646149771418819
Feat 574,0.003520000000000012,0.0013236313686219624,0.0020060185399939316,5,0.0062453752825223224,0.0007946247174777012
Feat 578,0.0032399999999999985,0.002535350074447319,0.023021882307603766,5,0.008460320845549029,-0.001980320845549032
Feat 566,0.00244000000000002,0.0007127411872482366,0.0007825059583259418,5,0.003907543955674235,0.0009724560443258048
Feat 287,0.0016799999999999927,0.001418449858119775,0.02853913742030326,5,0.004600607862929096,-0.00124060786292911
Feat 556,0.0014800000000000368,0.000831865373723408,0.008212447994041066,5,0.0031928223020978586,-0.0002328223020977851
Feat 550,0.0014800000000000147,0.0003033150177620616,0.00020034194777453627,5,0.00210452981383116,0.0008554701861688694
Feat 14,0.0014000000000000234,0.0016673332000533027,0.06682986880017347,5,0.0048330621039036105,-0.0020330621039035632
Feat 551,0.0012800000000000144,0.0008786353054595511,0.015576909509238658,5,0.0030891222379717084,-0.0005291222379716796
Feat 64,0.0012400000000000189,0.0010237187113655555,0.026810692267611104,5,0.003347850975997947,-0.0008678509759979091
Feat 581,0.0010000000000000009,0.0007999999999999814,0.024528403611934296,5,0.002647211057175018,-0.0006472110571750164
Feat 557,0.0009600000000000275,0.0005366563145999338,0.008065044950044712,5,0.00206498276913981,-0.00014498276913975524
Feat 565,0.0009600000000000053,0.00026076809620807724,0.0005936796503141643,5,0.0014969251142905472,0.0004230748857094634
Feat 1,0.0008800000000000141,0.0017469974241538075,0.16150795348390115,5,0.00447709184240313,-0.0027170918424031013
Feat 577,0.0008000000000000229,0.0006324555320336764,0.02371032779215791,5,0.0021022346819217783,-0.0005022346819217327
Feat 568,0.0008000000000000007,0.0005291502622129018,0.013884806340219952,5,0.0018895277035302156,-0.00028952770353021416
Feat 553,0.0006800000000000362,0.0003346640106135933,0.005234834644804658,5,0.0013690778234016125,-9.077823401540223e-06
Feat 579,0.0005600000000000049,0.001558204094462637,0.23332931945418922,5,0.0037683637671678807,-0.002648363767167871
Feat 589,0.0005200000000000094,0.00030331501776206885,0.009281282250780367,5,0.0011445298138311696,-0.00010452981383115081
Feat 598,0.00048000000000003595,0.0007014271166700123,0.10035746514312535,5,0.0019242481279766136,-0.0009642481279765417
Feat 567,0.00036000000000002697,0.00016733200530681658,0.004290459360961394,5,0.0007045389117008562,1.546108829919774e-05
